Stock Names	Token
ADANIENSOL	10217
FEDERALBNK	1023
LUPIN	10440
IGL	11262
PTC	11355
ZOTA	11394
GNFC	1174
SHOPERSTOP	11813
KENNAMET	11841
KANSAINER	1196
FIVESTAR	12032
UNITDSPR	10447
POWERMECH	10473
UNIONBANK	10753
TCS	11536
NTPC	11630
SSWL	11829
63MOONS	11868
GRANULES	11872
CASTROLIND	1250
IIFLCAPS	13072
RATNAMANI	13451
HBLENGINE	13966
TANLA	13976
HINDZINC	1424
TIIL	14223
REDINGTON	14255
RELIGARE	15068
COLPAL	15141
ECLERX	15179
TITAGARH	15414
APOLLOTYRE	163
YATHARTH	17738
AEROFLEX	18268
CUPID	18520
GALAXYSURF	1315
CENTURYPLY	13305
GPIL	13409
TECHM	13538
ELECON	13643
NAUKRI	13751
LUMAXTECH	14014
INDIANB	14309
HSCL	14334
GODREJAGRO	144
ASTRAL	14418
SPARC	14788
HCG	15555
ITC	1660
SUMICHEM	17105
REDTAPE	17859
CONCORDBIO	18060
ICICIPRULI	18652
PNBHOUSING	18908
KIRLOSIND	19025
SFL	19184
BAJAJCON	19531
CELLO	19795
MASFIN	199
DEEPAKNTR	19943
JWL	20224
COALINDIA	20374
INDIASHLTR	20556
HUDCO	20825
KIRLOSENG	20936
ERIS	21154
MASTEK	2124
CDSL	21174
SIS	21501
TSFINV	2183
JUNIPER	22824
INDGN	23693
PIIND	24184
PIDILITIND	2664
ACMESOLAR	27061
SWANCORP	27095
SIGNATURE	18743
PRICOLLTD	19631
BLUEJET	19686
AUBANK	21238
OPTIEMUS	21469
SBILIFE	21808
JSFB	22663
BHARTIHEXA	23489
RPEL	24735
PNGJL	25312
POLYMED	25718
HYUNDAI	25844
WAAREEENER	25907
KMEW	27084
BLACKBUCK	27144
RALLIS	2816
SETL	29075
CARERATING	29113
INDUSTOWER	29135
SAIL	2963
RHIM	31163
SCHNEIDER	31234
SKFINDIA	3186
SUBROS	3324
SUPREMEIND	3363
SWARAJENG	3384
TMPV	3456
TFCILTD	3466
ADANIGREEN	3563
BATAINDIA	371
SHYAMMETL	4693
SAREGAMA	4892
IRCON	4986
MAZDOCK	509
CLEAN	5049
ASAHIINDIA	5378
GRSE	5475
SANSERA	5751
AXISBANK	5900
INTELLECT	5926
ABSLAMC	6018
CIPLA	694
JSWCEMENT	758460
LENSKART	759605
TMCV	759782
GROWW	759806
STYL	759934
SUDEEPPHRM	760039
NEPHROPLUS	760346
AVANTIFEED	7936
EIHOTEL	919
LICI	9480
SENORES	28888
NAZARA	2987
JUSTDIAL	29962
ARE&M	100
FACT	1008
GODREJCP	10099
SYNGENE	10243
FINCABLES	1038
VARROC	3857
RAMRAT	10485
BERGEPAINT	404
BHARATFORG	422
SHRIRAMFIN	4306
PNB	10666
BANKINDIA	4745
DODLA	4822
FDC	4898
SHARDACROP	4992
STYLAMIND	5186
INDUSINDBK	5258
EPIGRAL	5382
CARTRADE	5407
VIJAYA	5585
CEMPRO	5622
CYIENT	5748
PARAS	5911
JINDALSTEL	6733
BSOFT	6994
ANANDRATHI	7145
GLENMARK	7406
ATHERENERG	757645
HDBFS	757772
RAYMONDREL	758551
JAINREC	759244
BLUESTONE	759291
WEWORK	759434
ORKLAINDIA	759569
CGPOWER	760
MEESHO	760229
KSHINTL	760433
FRACTAL	760961
SEDEMAC	761153
KISSHT	763294
SBIFUNDS	764173
ZYDUSLIFE	7929
AWL	8110
SKIPPER	9428
EPL	981
HAVELLS	9819
TCI	10580
VAIBHAVGBL	11364
POONAWALLA	11403
DATAMATICS	11423
GLAXO	1153
PPLPHARMA	11571
ICIL	11987
HNDFDS	12173
GRASIM	1232
MBAPL	12686
SYRMA	10793
PETRONET	11351
EMIL	11530
ASTRAMICRO	11618
GODFRYPHLP	1181
GREAVESCOT	1235
GUJALKALI	1267
AMBUJACEM	1270
PVRINOX	13147
GALLANTT	13337
FIEMIND	13710
GESHIP	13776
SOBHA	13826
AGI	1412
KIRLFER	14466
GOKULAGRO	14480
MOTILALOFS	14947
INDHOTEL	1512
RAIN	15337
TATAINVEST	1621
BECTORFOOD	1628
IPCALAB	1633
PATANJALI	17029
LLOYDSME	17313
OIL	17438
COHANCE	17945
WHIRLPOOL	18011
KAJARIACER	1808
KARURVYSYA	1838
KRISHANA	12847
HINDPETRO	1406
TIMKEN	14198
DLF	14732
AVALON	15058
KIRLPNU	15180
MANKIND	15380
PRUDENT	9553
IONEXCHANG	1630
PARADEEP	9741
BAJAJFINSV	16675
NEOGEN	9917
MHRIL	17333
ADANIPOWER	17388
SARDAEN	17758
SBICARD	17971
DBL	18086
TVSSCS	18151
SANDUMA	18359
RRKABEL	18566
STYRENIX	19
MAXESTATES	19646
HONASA	19813
GRAVITA	20534
MAHSEAMLES	2088
BDL	2144
ABCAPITAL	21614
ICICIGI	21770
GODIGIT	23799
BANSALWIRE	24386
JSWINFRA	19020
KIOCL	19126
TI	19196
KSB	1949
ASKAUTOLTD	20152
PRESTIGE	20302
CGCL	20329
IOLCP	20413
MUTHOOTMF	20831
HAPPYFORGE	20854
ACC	22
ENTERO	22717
MPSLTD	10578
INDIAMART	10726
JSL	11236
AFFLE	11343
SUPRAJIT	11689
GENUSPOWER	11905
MEDANTA	11956
BIKAJI	11966
ADANIENT	25
RAYMONDLSL	25073
TDPOWERSYS	25178
SHAKTIPUMP	25574
PCBL	2649
PRSMJOHNSN	2739
PGEL	25358
GICRE	277
SAILIFE	27839
RELIANCE	2885
VENTIVE	28847
ONESOURCE	29224
SIEMENS	3150
SUDARSCHEM	3327
SUNDRMFAST	3345
TATASTEEL	3499
BASF	368
RITES	3761
AEGISLOG	40
ZEEL	3812
MOTHERSON	4204
HDFCAMC	4244
BHEL	438
MPHASIS	4503
HDFCLIFE	467
ENGINERSIN	4907
ICICIBANK	4963
PDSL	5264
NUVOCO	5426
ABREL	625
VISHNU	6908
VAML	750174
JSLL	758115
ATLANTAELE	759007
URBANCO	759084
SHREEJISPG	759448
SKFINDUS	760101
FINPIPE	1041
OLECTRA	10637
GODREJIND	10925
GARFIBRES	1100
OMNI	760865
LT	11483
SHADOWFAX	761469
WESTLIFE	11580
NEWGEN	1164
CMPDI	761581
GOKEX	11778
IIFL	11809
NH	11840
GLAND	1186
TIMEX	762954
KAYNES	12092
LASERPOWER	764126
SWSOLAR	12489
KTKBANK	8054
DEEPAKFERT	827
NLCINDIA	8585
CHOICEIN	8866
TIPSMUSIC	9117
ACE	13587
HINDALCO	1363
PNCINFRA	9385
IRCTC	13611
SKYGOLD	13631
JMFINANCIL	13637
IKS	28125
DCBBANK	13725
UNIMECH	28960
CIEINDIA	14937
CSBBANK	14966
POWERGRID	14977
BALRAMCHIN	341
ASTERDM	1508
INDIACEM	1515
WIPRO	3787
MARICO	4067
ALKYLAMINE	4487
SBCL	4656
ETERNAL	5097
APTUS	5435
ARTEMISMED	16913
CUB	5701
BLS	17279
GOODLUCK	6125
CESC	628
PAYTM	6705
GODREJPROP	17875
MEDPLUS	7254
LGBBROSLTD	18321
KIRLOSBROS	18581
NUVAMA	18721
VBL	18921
WAAREERTL	756038
KEC	13260
TRAVELFOOD	757545
HEG	1336
PICCADIL	757754
SUNTV	13404
PFOCUS	13496
GMRAIRPORT	13528
TORNTPOWER	13786
CPPLUS	758858
BANCOINDIA	13880
SGMART	758889
UNOMINDA	14154
CANHLIFE	759477
PGIL	14260
PFC	14299
SANOFI	1442
AEQUS	760234
CMSINFO	7603
PARKHOSPS	760351
EDELWEISS	15119
RECLTD	15355
IOC	1624
RPGLIFE	16725
MGL	17534
SUNTECK	17641
REFEX	17764
NESTLEIND	17963
GVPIL	7862
MAHLIFE	8050
M&M	2031
JAMNAAUTO	20778
CAMPUS	9362
SPLPETRO	9617
ASHOKLEY	212
CHOLAHLDNG	21740
HFCL	21951
NCC	2319
MUTHOOTFIN	23650
AVANTEL	24610
ONGC	2475
CEIGALL	24742
PREMIERENE	25049
TRITURBINE	25584
LEMONTREE	2606
PRAJIND	2705
BSE	19585
FEDFINA	20322
AZAD	20905
INNOVACAP	21062
STARCEMENT	21091
AIIL	23553
TBOTEK	23740
DELHIVERY	9599
SYMPHONY	24190
MIDHANI	2463
APLAPOLLO	25780
KALYANKJIL	2955
BORORENEW	3149
ISGEC	3329
VESUVIUS	3676
HATSUN	3892
BANKBARODA	4668
SONACOMS	4684
BIRLACORPN	480
GRINFRA	5054
KPIGREEN	5108
GMDCLTD	5204
GRAPHITE	592
GREENLAM	6848
WOCKPHARMA	7506
TRANSRAILL	28714
ITCHOTELS	29251
VMART	29284
HEXT	29666
JINDALSAW	3024
CMRGREEN	30893
TIINDIA	312
BANARISUG	350
VIPIND	3703
VOLTAS	3718
BEML	395
NATCOPHARM	3918
GAIL	4717
CANFINHOME	583
TECHNOE	6445
SONATSOFTW	6596
SMARTWORKS	757965
LOTUSDEV	758145
KALPATARU	758558
TATACAP	759265
VIKRAMSOLR	759453
PIRAMALFIN	759551
EMMVEE	759728
AJANTPHARM	8124
VRLLOG	8696
DRREDDY	881
RAINBOW	9408
AXISCADES	9436
AEGISVOPAK	757336
UTLSOLAR	759876
LGEINDIA	760213
POWERICA	761680
PRIVISCL	8825
ANUP	9014
ARVINDFASN	9111
RVNL	9552
METROPOLIS	9581
SHARDAMOTR	10530
KRBL	10577
MARKSANS	10579
BHARTIARTL	10604
ZENSARTECH	1076
GABRIEL	1085
TMB	10945
UPL	11287
LALPATHLAB	11654
JSWSTEEL	11723
GSFC	1247
MANORAMA	10227
BIOCON	11373
RKFORGE	11411
WELENT	11626
WELCORP	11821
ACI	12024
KPITTECH	9683
ETHOSLTD	9750
GUJENERGY	10599
CANBK	10794
WELSPUNLIV	11253
SUVEN	11233
APOLLO	1134
CCL	11452
COFORGE	11543
JBMA	11655
JKPAPER	11860
GOLDIAM	11971
RUSTOMJEE	12219
M&MFIN	13285
HDFCBANK	1333
JKLAKSHMI	13491
EMAMILTD	13517
ANANTRAJ	13620
AARTIPHARM	13868
HINDUNILVR	1394
HIRECT	13890
GANESHHOU	14339
JSWDULUX	1467
CENTUM	14982
ADANIPORTS	15083
JYOTHYLAB	15146
TARIL	15174
BRIGADE	15184
CEATLTD	15254
NESCO	15409
UBL	16713
THYROCARE	17032
ZYDUSWELL	17635
SHILPAMED	17752
AHLUCONT	17833
RBLBANK	18391
DIACABS	18543
LTTS	18564
360ONE	13061
KFINTECH	13359
GRINDWELL	13560
LTFOODS	13816
VIYASH	14296
JKTYRE	14435
BALAMINES	14501
FORTIS	14592
V2RETAIL	14766
IFBIND	1485
VGUARD	15362
ZFCVINDIA	16915
QUESS	17704
HINDCOPPER	17939
JIOFIN	18143
JLHL	18553
KOTAKBANK	1922
ARVIND	193
OBEROIRLTY	20242
NACLIND	20425
DOMS	20551
MOIL	20830
IXIGO	24067
NIRLON	2433
AKUMS	24715
LTF	24948
APLLTD	25328
NORTHARC	25426
AVL	25984
IMFA	19235
TRENT	1964
LICHSGFIN	1997
WABAG	20188
ASHAPURMIN	203
TATATECH	20293
RESPONIND	20323
CHENNPETRO	2049
HOMEFIRST	2056
TEJASNET	21131
JYOTICNC	21334
IEX	220
MAXHEALTH	22377
BANDHANBNK	2263
RPTECH	22670
ASIANPAINT	236
AADHARHFC	23729
EMCURE	24398
DHANUKA	24409
FIRSTCRY	24814
EUREKAFORB	25162
PRECWIRE	2717
AUROPHARMA	275
SAFARI	13035
FSL	14304
PHOENIXLTD	14552
TIMETECHNO	14707
KPRMILL	14912
PURVA	14922
INDIAGLYCO	1521
INFY	1594
ITI	1675
CROMPTON	17094
CYIENTDLM	17187
SENCO	17271
VINATIORGA	17364
JSWENERGY	17869
JUBLFOOD	18096
KPIL	1814
YASHO	18131
ENDURANCE	18822
MANAPPURAM	19061
LAURUSLABS	19234
ITDC	19299
GPPL	19731
DMART	19913
IREDA	20261
RAMCOCEM	2043
INDIGOPNTS	2048
INOXINDIA	20607
VTL	2073
MFSL	2142
COCHINSHIP	21508
TEXRAIL	21828
MRPL	2283
BALUFORGE	23607
RELAXO	24225
RAILTEL	2431
ABDL	24308
MINDACORP	25897
AFCONS	25977
SWIGGY	27066
JUBLINGREA	2783
VMM	27969
IGIL	28378
AGARWALEYE	29452
AJAXENGG	29624
SOTL	3021
VEDL	3063
BALKRISIND	335
SUNFLAG	3348
SURYAROSNI	3375
TATAELXSI	3411
TATACONSUM	3432
BBOX	3435
TTKPRESTIG	3546
NAM-INDIA	357
JUBLPHARMA	3637
BEL	383
CAPLIPOINT	3906
GULFOILLUB	4391
CREDITACC	4421
TATVA	5162
ALIVUS	5265
AAVAS	5385
ATGL	6066
CHAMBLFERT	637
SUPRIYA	7390
SBIN	3045
INDOSTAR	3088
MCX	31181
LODHA	3220
CAMS	342
TATACHEM	3405
THOMASCOOK	3481
UNIVCABLES	3607
BBTC	380
NIACL	399
NAVA	4014
HAPPSTMNDS	48
UTIAMC	527
DEVYANI	5373
CARBORUNIV	595
SJS	6643
SAPPHIRE	6718
CHOLAFIN	685
AARTIIND	7
STARHEALTH	7083
MAPMYINDIA	7227
HCLTECH	7229
METROBRAND	7242
COROMANDEL	739
ZENTEC	7508
ENRIN	756871
ANTHEM	757885
SGFIN	758853
SAATVIKGL	759057
PACEDIGITK	759342
PINELABS	759820
TENNIND	759880
CORONA	760254
ICICIAMC	760407
CORDELIA	762163
KAMAHOLD	762732
KUSUMGAR	764116
DABUR	772
BELRISE	757102
EBGNG	757862
MIDWESTLTD	759517
PWL	759723
CLEANMAX	760183
AMAGI	760740
AYE	760981
WPIL	762978
DCMSHRIRAM	811
MANYAVAR	8167
BLUESTARCO	8311
GAEL	8828
EIDPARRY	916
ORCHPHARMA	926
ELGIEQUIP	937
ANURAS	2829
LXCHEM	2841
RCF	2866
SAMMAANCAP	30125
SCI	3048
BAJFINANCE	317
SRF	3273
SUNPHARMA	3351
TATAPOWER	3426
TATACOMM	3721
CONCOR	4749
KIMS	4847
BPCL	526
ACUTAAS	5578
J&KBANK	5633
NATIONALUM	6364
NYKAA	6545
POLICYBZR	6656
EXIDEIND	676
LATENTVIEW	6818
TEGA	7105
RATEGAIN	7177
STAR	7374
THELEELA	757014
CRAMC	759311
RUBICON	759316
WAKEFIT	760259
DALBHARAT	8075
CHALET	8546
SHAILY	8727
USHAMART	8840
E2E	8937
MSTCLTD	9356
ESCORTS	958
AETHER	9810
ELGIEQUIP	522074
AEQUS	544634
